Province,Annee,Mois,PrecipitationMoyenne,NombreStations,FichierSource
AB,2025,11,19.103571428571428,84,fr_climat_sommaires_AB_11-2025.csv
AB,2025,12,33.52439024390244,82,fr_climat_sommaires_AB_12-2025.csv
BC,2000,1,130.6007712082262,389,fr_climat_sommaires_BC_01-2000.csv
BC,2000,2,72.47613065326634,398,fr_climat_sommaires_BC_02-2000.csv
BC,2000,3,109.13693467336684,398,fr_climat_sommaires_BC_03-2000.csv
BC,2000,4,66.96926952141058,397,fr_climat_sommaires_BC_04-2000.csv
BC,2000,5,85.0846547314578,391,fr_climat_sommaires_BC_05-2000.csv
BC,2000,6,70.00820512820513,390,fr_climat_sommaires_BC_06-2000.csv
BC,2000,7,68.99848484848485,396,fr_climat_sommaires_BC_07-2000.csv
BC,2000,8,44.19770408163265,392,fr_climat_sommaires_BC_08-2000.csv
BC,2000,9,72.25388471177945,399,fr_climat_sommaires_BC_09-2000.csv
BC,2000,10,117.81259640102827,389,fr_climat_sommaires_BC_10-2000.csv
BC,2000,11,92.27186700767264,391,fr_climat_sommaires_BC_11-2000.csv
BC,2000,12,107.25555555555555,378,fr_climat_sommaires_BC_12-2000.csv
BC,2001,1,107.79791122715405,383,fr_climat_sommaires_BC_01-2001.csv
BC,2001,2,47.26276041666667,384,fr_climat_sommaires_BC_02-2001.csv
BC,2001,3,103.83821989528795,382,fr_climat_sommaires_BC_03-2001.csv
BC,2001,4,77.85655526992286,389,fr_climat_sommaires_BC_04-2001.csv
BC,2001,5,74.25265957446808,376,fr_climat_sommaires_BC_05-2001.csv
BC,2001,6,73.59116883116883,385,fr_climat_sommaires_BC_06-2001.csv
BC,2001,7,50.248571428571424,385,fr_climat_sommaires_BC_07-2001.csv
BC,2001,8,95.10963541666665,384,fr_climat_sommaires_BC_08-2001.csv
BC,2001,9,64.32748691099476,382,fr_climat_sommaires_BC_09-2001.csv
BC,2001,10,137.93527851458884,377,fr_climat_sommaires_BC_10-2001.csv
BC,2001,11,170.36880000000002,375,fr_climat_sommaires_BC_11-2001.csv
BC,2001,12,169.38924731182797,372,fr_climat_sommaires_BC_12-2001.csv
BC,2002,1,152.54123989218328,371,fr_climat_sommaires_BC_01-2002.csv
BC,2002,2,114.94059945504087,367,fr_climat_sommaires_BC_02-2002.csv
BC,2002,3,93.85040871934606,367,fr_climat_sommaires_BC_03-2002.csv
BC,2002,4,77.1308743169399,366,fr_climat_sommaires_BC_04-2002.csv
BC,2002,5,72.41783783783784,370,fr_climat_sommaires_BC_05-2002.csv
BC,2002,6,59.870903954802266,354,fr_climat_sommaires_BC_06-2002.csv
BC,2002,7,33.972162162162164,370,fr_climat_sommaires_BC_07-2002.csv
BC,2002,8,30.44878048780488,369,fr_climat_sommaires_BC_08-2002.csv
BC,2002,9,73.2745042492918,353,fr_climat_sommaires_BC_09-2002.csv
BC,2002,10,35.13726027397261,365,fr_climat_sommaires_BC_10-2002.csv
