Année,Région,Index,Source,Secteur,Sous-Secteur,Sous-sous-Secteur,Total,CO2 (kt),CH4 (kt),N2O (kt),HFCs (kt CO2eq),PFCs (kt CO2eq),SF6 (kt),NF3 (kt),Total (kt CO2eq)
1990,Nouvelle-Écosse,22,Transports,Transport de marchandises,"Camions lourds, trains",,,693.0086518,0.07971819,0.038244811,0,0,0,0,705.3756359
1990,Nouvelle-Écosse,23,Transports,Transport de marchandises,Transport aérien et transport maritime,,,429.3931566,0.035630084,0.011511815,0,0,0,0,433.4414299
1990,Nouvelle-Écosse,24,Transports,"Autres : à des fins récréatives, commerciales et résidentielles",,,,241.7241444,0.431857749,0.004593012,0,0,0,0,255.0333095
1990,Nouvelle-Écosse,25,Industrie lourde,,,,o,1029.532108,0.124658086,0.044855864,0,0,0,0,1044.909338
1990,Nouvelle-Écosse,26,Industrie lourde,Exploitation minière,,,,162.9910402,0.017076706,0.002068964,0,0,0,0,164.0174635
1990,Nouvelle-Écosse,27,Industrie lourde,Fonte et raffinage (métaux non ferreux),,,,4.358864169,0.00612801,0.000114794,0,0,0,0,4.560868938
1990,Nouvelle-Écosse,28,Industrie lourde,Pâtes et papiers,,,,409.1117313,0.078579738,0.039920527,0,0,0,0,421.8909037
1990,Nouvelle-Écosse,29,Industrie lourde,Sidérurgie,,,,79.07637311,0.00897709,0.001628004,0,0,0,0,79.75915261
1990,Nouvelle-Écosse,30,Industrie lourde,Ciment,,,,293.6645308,0.007757028,0.001002966,0,0,0,0,294.1475135
1990,Nouvelle-Écosse,31,Industrie lourde,Chaux et gypse,,,,0.79921147,1.10561E-05,5.6793E-06,0,0,0,0,0.801026054
1990,Nouvelle-Écosse,32,Industrie lourde,"Produits chimiques, engrais et fabrication de biocombustibles",,,,79.53035669,0.006128458,0.000114929,0,0,0,0,79.73240983
1990,Nouvelle-Écosse,45,"Industrie manufacturière légère, construction et exploitation forestière",,,,o,626.8911422,0.043629246,0.009801526,0,0,0,0,630.7101655
1990,Nouvelle-Écosse,46,"Industrie manufacturière légère, construction et exploitation forestière",Industrie manufacturière légère,,,,206.6038869,0.012203915,0.005404161,0,0,0,0,208.3776991
1990,Nouvelle-Écosse,47,"Industrie manufacturière légère, construction et exploitation forestière",Construction,,,,268.3410358,0.026322613,0.003143257,0,0,0,0,269.911032
1990,Nouvelle-Écosse,48,"Industrie manufacturière légère, construction et exploitation forestière",Ressources forestières,,,,151.9462195,0.005102718,0.001254109,0,0,0,0,152.4214344
1990,Nouvelle-Écosse,33,Bâtiments,,,,o,2796.570127,4.275565997,0.079866764,0,0,0,0,2937.450668
1990,Nouvelle-Écosse,34,Bâtiments,Industrie des services,,,,821.5055543,0.009651106,0.035560726,0,0,0,0,831.1993777
1990,Nouvelle-Écosse,35,Bâtiments,Résidentiel,,,,1975.064573,4.265914891,0.044306038,0,0,0,0,2106.25129
1990,Nouvelle-Écosse,40,Déchets,,,,o,22.76095614,26.87445751,0.084007513,0,0,0,0,797.5077572
1990,Nouvelle-Écosse,41,Déchets,Déchets solides,,,,0,25.79126139,0.005984484,0,0,0,0,723.7412072
1990,Nouvelle-Écosse,42,Déchets,Eaux usées,,,,0,1.073147965,0.072973467,0,0,0,0,49.38611178
1990,Nouvelle-Écosse,43,Déchets,Incinération des déchets,,,,22.76095614,0.010048153,0.005049561,0,0,0,0,24.38043823
1990,Nouvelle-Écosse,36,Agriculture,,,,o,173.6491077,10.577557,0.375699665,0,0,0,0,569.381115
1990,Nouvelle-Écosse,37,Agriculture,Utilisation de combustibles à la ferme,,,,137.2550822,0.003638891,0.001593228,0,0,0,0,137.7791766
1990,Nouvelle-Écosse,38,Agriculture,Cultures,,,,36.39402556,0.001693613,0.08459767,0,0,0,0,58.85982919
1990,Nouvelle-Écosse,39,Agriculture,Élevage,,,,0,10.57222449,0.289508767,0,0,0,0,372.7421092
1990,Nouveau-Brunswick,0,Total,,,,o,14666.88685,40.97069719,1.340822348,0,0,3.10393E-05,0,16170.11372
1990,Nouveau-Brunswick,1,Pétrole et gaz,,,,o,1263.274262,0.295764366,0.030179383,0,0,0,0,1279.5532
1990,Nouveau-Brunswick,2,Pétrole et gaz,Industrie amont du pétrole et du gaz,,,o,0,0.00364077,0,0,0,0,0,0.10194156
1990,Nouveau-Brunswick,3,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production et traitement du gaz naturel,,,0,0.00293237,0,0,0,0,0,0.08210636
1990,Nouveau-Brunswick,4,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,,o,0,0.0007084,0,0,0,0,0,0.0198352
1990,Nouveau-Brunswick,5,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,Production de pétrole léger classique,,0,0.0007084,0,0,0,0,0,0.0198352
1990,Nouveau-Brunswick,13,Pétrole et gaz,Industrie aval du pétrole et du gaz,,,o,1263.274262,0.292123596,0.030179383,0,0,0,0,1279.451259
1990,Nouveau-Brunswick,14,Pétrole et gaz,Industrie aval du pétrole et du gaz,Raffinage du pétrole,,,1263.274262,0.292123596,0.030179383,0,0,0,0,1279.451259
1990,Nouveau-Brunswick,44,Production de charbon,,,,,19.11165339,0.04237633,0.000173453,0,0,0,0,20.34415557
1990,Nouveau-Brunswick,16,Électricité,,,,,5975.097409,0.064042807,0.112811089,0,0,3.10393E-05,0,6007.51497
1990,Nouveau-Brunswick,17,Transports,,,,o,3348.205564,0.811436849,0.479635071,0,0,0,0,3498.02909
1990,Nouveau-Brunswick,18,Transports,Transport de passagers,,,o,2245.355328,0.322018105,0.413082477,0,0,0,0,2363.838691
1990,Nouveau-Brunswick,19,Transports,Transport de passagers,"Voitures, camions légers et motocyclettes",,,1976.385097,0.303540386,0.402428323,0,0,0,0,2091.527733
1990,Nouveau-Brunswick,20,Transports,Transport de passagers,"Transport par autobus, par train, maritime et aérien",,,268.9702313,0.018477719,0.010654154,0,0,0,0,272.3109583
1990,Nouveau-Brunswick,21,Transports,Transport de marchandises,,,o,903.6811672,0.068364977,0.062562965,0,0,0,0,922.1745723
1990,Nouveau-Brunswick,22,Transports,Transport de marchandises,"Camions lourds, trains",,,726.8545302,0.05319742,0.057787947,0,0,0,0,743.6578641
